#Pfam-A regions from Pfam version 32.0 for ncbi taxid 559292 'Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)'
#Total number of proteins in proteome: 6048
#<seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <clan>
A0A0B7P3V8	621	738	620	740	PF00665	rve	PfamLive::Result::SequenceOntology=HASH(0x9038ee0)	2	116	119	67.70	2.4e-15	CL0219
A2P2R3	79	203	58	215	PF13522	GATase_6	PfamLive::Result::SequenceOntology=HASH(0x10b558d0)	12	122	134	54.30	3.8e-11	CL0052
D6VPM8	27	117	2	120	PF00674	DUP	PfamLive::Result::SequenceOntology=HASH(0x903cec0)	12	100	103	113.90	8.5e-30	No_clan
D6VTK4	17	296	17	297	PF02116	STE2	PfamLive::Result::SequenceOntology=HASH(0xe774bf8)	1	279	280	301.80	1.1e-86	No_clan
D6W196	231	335	225	337	PF00153	Mito_carr	PfamLive::Result::SequenceOntology=HASH(0x8e35720)	9	95	97	64.20	2e-14	No_clan
D6W196	345	402	343	436	PF00153	Mito_carr	PfamLive::Result::SequenceOntology=HASH(0x8e35720)	3	60	97	32.70	0.00013	No_clan
D6W196	89	107	87	110	PF13202	EF-hand_5	PfamLive::Result::SequenceOntology=HASH(0x10a4ce60)	5	23	25	16.90	8.3	CL0220
D6W196	17	78	13	79	PF13499	EF-hand_7	PfamLive::Result::SequenceOntology=HASH(0x10b3f870)	5	70	71	34.40	5.5e-05	CL0220
O13297	279	497	278	497	PF02940	mRNA_triPase	PfamLive::Result::SequenceOntology=HASH(0xe9e2d08)	2	219	219	227.90	3e-64	CL0273
O13516	107	150	107	153	PF01479	S4	PfamLive::Result::SequenceOntology=HASH(0xe594030)	1	44	48	45.80	9.2e-09	CL0492
O13525	84	305	84	305	PF05019	Coq4	PfamLive::Result::SequenceOntology=HASH(0xf050df0)	1	221	221	310.90	9.5e-90	No_clan
O13527	104	222	102	223	PF00665	rve	PfamLive::Result::SequenceOntology=HASH(0x9038ee0)	3	118	119	63.00	7.4e-14	CL0219
O13527	722	921	714	941	PF07727	RVT_2	PfamLive::Result::SequenceOntology=HASH(0xf86f728)	12	214	242	106.80	3.4e-27	CL0027
O13535	701	819	699	820	PF00665	rve	PfamLive::Result::SequenceOntology=HASH(0x9038ee0)	3	118	119	63.20	6.4e-14	CL0219
O13535	17	114	17	114	PF01021	TYA	PfamLive::Result::SequenceOntology=HASH(0xe430660)	1	98	98	183.10	2.3e-51	No_clan
O13535	1319	1531	1312	1541	PF07727	RVT_2	PfamLive::Result::SequenceOntology=HASH(0xf86f728)	12	226	242	106.00	6.1e-27	CL0027
O13539	115	243	115	243	PF09432	THP2	PfamLive::Result::SequenceOntology=HASH(0xfe64238)	1	129	129	184.70	1.6e-51	No_clan
O13547	21	84	20	84	PF05730	CFEM	PfamLive::Result::SequenceOntology=HASH(0xf27ce30)	2	66	66	34.40	4.4e-05	No_clan
O13556	3	88	1	89	PF11603	Sir1	PfamLive::Result::SequenceOntology=HASH(0x10524178)	35	119	120	63.70	5.3e-14	No_clan
O13559	388	547	375	549	PF00270	DEAD	PfamLive::Result::SequenceOntology=HASH(0x8e4ff30)	13	174	176	28.70	0.0025	CL0023
O13559	616	719	614	722	PF00271	Helicase_C	PfamLive::Result::SequenceOntology=HASH(0x8e502f0)	3	107	111	47.60	4.4e-09	CL0023
O13563	13	103	13	103	PF04683	Proteasom_Rpn13	PfamLive::Result::SequenceOntology=HASH(0xef44cd8)	1	86	86	75.80	7.6e-18	CL0266
O13577	38	61	38	70	PF08591	RNR_inhib	PfamLive::Result::SequenceOntology=HASH(0xfbaa7f8)	1	24	107	21.80	0.9	No_clan
O13585	556	725	556	726	PF01843	DIL	PfamLive::Result::SequenceOntology=HASH(0xe6aa760)	1	103	104	49.40	1.1e-09	No_clan
O14455	5	99	4	99	PF01158	Ribosomal_L36e	PfamLive::Result::SequenceOntology=HASH(0xe4997b0)	2	96	96	125.60	1.7e-33	No_clan
O14464	56	93	56	93	PF00444	Ribosomal_L36	PfamLive::Result::SequenceOntology=HASH(0x8f82a00)	1	38	38	73.00	4.2e-17	No_clan
O14467	86	137	85	139	PF01381	HTH_3	PfamLive::Result::SequenceOntology=HASH(0xe545a80)	2	53	55	48.10	2.2e-09	CL0123
O14467	2	76	2	77	PF08523	MBF1	PfamLive::Result::SequenceOntology=HASH(0xfb74360)	1	71	72	86.00	4.5e-21	No_clan
O60200	8	74	7	75	PF05254	UPF0203	PfamLive::Result::SequenceOntology=HASH(0xf1095d0)	2	68	69	95.70	3.6e-24	No_clan
O74302	17	114	17	114	PF01021	TYA	PfamLive::Result::SequenceOntology=HASH(0xe430660)	1	98	98	185.00	5.7e-52	No_clan
